id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree canopy symptoms,field:optional - did the tree have heat damage,field:percent canopy affected (%),field:dieback percent,field:number of additional unhealthy trees (of same species) in area (within sight),field:percent of trees (of same species) within sight that are unhealthy,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - site type,field:optional - site/location description,field:optional - site/area disturbance level,field:optional - site hydrology,field:optional - access to water,field:optional - slope position,field:optional - were there any other unhealthy plant species on the site?,field:optional - timing of symptoms estimate,field:optional - estimated time spent to make this observation (# of minutes),field:optional - can we follow up with you?,field:notes
4601133,2016-11-19 9:14:24 AM PST,2016-11-19,2016-11-19 17:14:24 UTC,Pacific Time (US & Canada),300689,ewrunn1ng,Eric Running,2016-11-19 21:53:06 UTC,2021-03-15 02:34:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4601133,https://inaturalist-open-data.s3.amazonaws.com/photos/5562305/medium.jpeg,,,,1,0,false,2,"Pipers Creek Trail Seattle, WA 98177",47.7103004456,-122.3679733276,,,,,,,,false,gps,gps,,King,Washington,United States,Washington,King,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Small,,,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,,,,,,
19184654,2018/12/23 2:05 PM PST,2018-12-23,2018-12-23 22:05:00 UTC,Pacific Time (US & Canada),300689,ewrunn1ng,Eric Running,2018-12-24 01:19:48 UTC,2021-02-02 13:10:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19184654,https://inaturalist-open-data.s3.amazonaws.com/photos/29465143/medium.jpeg,,"",,2,0,false,,"Briarcrest, Shoreline, WA 98155, USA",47.7430914414,-122.3109349687,15,,,,15,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,,Suburban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,Area is flat (e.g. field),,,,No Selection,""
52964145,2020-05-31 5:21:45 PM PDT,2020-05-31,2020-06-01 00:21:45 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-07-13 18:15:30 UTC,2021-05-13 04:29:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52964145,https://inaturalist-open-data.s3.amazonaws.com/photos/84221685/medium.jpeg,,"",dying T. plicata,1,0,false,2,"1959 North East Pacific Street Suite 318 Box 356370, Seattle, WA 98195, Seattle, WA 98195, USA",47.6509785313,-122.3072987795,14,,,,14,,open,false,gps,gps,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Yellowing Canopy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,,Urban Landscaped,Yard or open park grounds,,Upland or well drained,,Area is flat (e.g. field),,,,No Selection,""
61398540,Sat Sep 26 2020 11:17:47 GMT-0700 (PDT),2020-09-26,2020-09-26 18:17:47 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-01 15:54:49 UTC,2021-05-13 04:03:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61398540,https://inaturalist-open-data.s3.amazonaws.com/photos/98246764/medium.jpg,,"",Note that this tree is healthy. Classic thinning of older foliage.,1,0,false,3,"Seattle Children's Hospital, Seattle, WA, US",47.6614026155,-122.2832440962,27,,,,27,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,,Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Lower slope,,,,,
61400313,2020-08-25 6:48:28 PM PDT,2020-08-25,2020-08-26 01:48:28 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-01 16:17:33 UTC,2021-05-07 19:10:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61400313,https://inaturalist-open-data.s3.amazonaws.com/photos/98249566/medium.jpeg,,"",Many declining western redcedar,1,0,false,2,"Sand Point, Seattle, WA 98115, USA",47.6751263319,-122.2610672191,38,,,,38,,open,false,gps,gps,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,dead top,,more than 75% of the crown is unhealthy,,5,,,,,,,,,,,,,,,
61401102,2020-08-25 6:43:41 PM PDT,2020-08-25,2020-08-26 01:43:41 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-01 16:26:24 UTC,2021-05-07 19:10:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61401102,https://inaturalist-open-data.s3.amazonaws.com/photos/98250899/medium.jpeg,,"",Multiple declining trees,1,0,false,2,"NE 65th St & Radford Dr NE, Seattle, WA 98115, USA",47.6761844239,-122.2620814294,27,,,,27,,open,false,gps,gps,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,New Dead Top (red or brown needles still attached),,1-29% of the canopy is unhealthy,,4-6,,,,,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Area is flat (e.g. field),,,,,
61401305,2020-08-25 6:32:39 PM PDT,2020-08-25,2020-08-26 01:32:39 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-01 16:29:05 UTC,2021-05-07 19:11:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61401305,https://inaturalist-open-data.s3.amazonaws.com/photos/98251232/medium.jpeg,,"",Individual tree declining,1,0,false,2,"NE 65th St & Radford Dr NE, Seattle, WA 98115, USA",47.6761706532,-122.2624612972,41,,,,41,,open,false,gps,gps,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,New Dead Top (red or brown needles still attached),,30-59% of the canopy is unhealthy,,2-3,,Not sure,Other (please describe in Notes),,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Area is flat (e.g. field),,,,,
61423931,Thu Oct 01 2020 10:46:33 GMT-0700 (PDT),2020-10-01,2020-10-01 17:46:33 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-01 20:41:03 UTC,2021-05-13 04:00:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61423931,https://inaturalist-open-data.s3.amazonaws.com/photos/98289894/medium.jpg,,"",Thinning canopy,1,0,false,3,"Burke-Gilman Playground Park, Seattle, WA, US",47.6654002946,-122.2830562674,25,,,,25,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,30-59% of the canopy is unhealthy,,0,,,,,Urban,Forest edge,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Seasonally flooded area,,Floodplain or valley bottom,,,,,
61624246,Sat Oct 03 2020 15:05:36 GMT-0700 (PDT),2020-10-03,2020-10-03 22:05:36 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-03 23:59:48 UTC,2021-05-13 03:58:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61624246,https://inaturalist-open-data.s3.amazonaws.com/photos/98627972/medium.jpg,,"",Healthy redcedar trees shedding older foliage,1,0,false,3,"Blyth Park, Bothell, WA, US",47.7494723567,-122.2079986731,22,,,,22,,open,false,,,Bothell City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,healthy,,Healthy (0% is unhealthy),,0,,Not sure,,,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,Area is flat (e.g. field),,,,,
61624408,Sat Oct 03 2020 15:05:15 GMT-0700 (PDT),2020-10-03,2020-10-03 22:05:15 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-04 00:02:06 UTC,2021-05-13 03:59:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61624408,https://inaturalist-open-data.s3.amazonaws.com/photos/98628255/medium.jpg,,"",Slight thinning of upper canopy,1,0,false,3,"Blyth Park, Bothell, WA, US",47.750082372,-122.2083493488,22,,,,22,,open,false,,,Bothell City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,healthy,,1-29% of the canopy is unhealthy,,0,,Not sure,,,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Area is flat (e.g. field),,,,,
61624619,Sat Oct 03 2020 14:54:43 GMT-0700 (PDT),2020-10-03,2020-10-03 21:54:43 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-04 00:04:35 UTC,2021-12-10 20:48:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/61624619,https://inaturalist-open-data.s3.amazonaws.com/photos/98628572/medium.jpg,,"",Healthy stand of western redcedar trees,1,0,false,3,"W Riverside Dr, Bothell, WA, US",47.750931613,-122.2077266787,22,,,,22,,open,false,,,Bothell City Limits,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,healthy,,Healthy (0%),,0,,,,,,,,,,,,,,,
62133383,Fri Oct 09 2020 12:01:14 GMT-0700 (PDT),2020-10-09,2020-10-09 19:01:14 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-09 19:02:49 UTC,2022-02-03 18:06:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/62133383,https://inaturalist-open-data.s3.amazonaws.com/photos/99699622/medium.jpg,,"","",1,0,false,3,"Washington, US",47.1098824501,-121.8078283388,10,"Forest Rd, Enumclaw, WA, US",47.1943095793,-121.9153992088,26903,obscured,open,true,,,,King,Washington,United States,Washington,King,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,,,,,,,,,,,,,,
63186072,Wed Oct 21 2020 12:15:07 GMT-0700 (PDT),2020-10-21,2020-10-21 19:15:07 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-21 19:15:44 UTC,2021-05-13 03:56:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63186072,https://inaturalist-open-data.s3.amazonaws.com/photos/101366692/medium.jpg,,"","",1,0,false,3,"Seward Park, Seattle, WA, US",47.5499451813,-122.2555292119,5,,,,5,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Browning Canopy,,60-99% of the canopy is unhealthy,,2-3,,Unsure,,,,,,,,,,,,,
63253840,Thu Oct 22 2020 10:07:40 GMT-0700 (PDT),2020-10-22,2020-10-22 17:07:40 UTC,Pacific Time (US & Canada),2361529,lasecki,,2020-10-22 17:13:37 UTC,2021-12-10 20:49:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63253840,https://inaturalist-open-data.s3.amazonaws.com/photos/101485569/medium.jpg,,"","",1,0,false,3,"SE Mount Si Rd, North Bend, WA, US",47.4873686833,-121.7194069,10,,,,10,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,dead top,,1-25% of the crown is unhealthy,,4,,,,,,,,,,,,,,,
63255638,Thu Oct 22 2020 10:35:24 GMT-0700 (PDT),2020-10-22,2020-10-22 17:35:24 UTC,Pacific Time (US & Canada),2361529,lasecki,,2020-10-22 17:37:24 UTC,2021-12-10 20:49:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63255638,https://inaturalist-open-data.s3.amazonaws.com/photos/101488558/medium.jpg,,"","",1,0,false,3,"SE Mount Si Rd, North Bend, WA, US",47.4874740833,-121.719034,5,,,,5,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,thinning foliage,,1-25% of the crown is unhealthy,,2,,,,,,,,,,,,,,,
63298939,Fri Oct 16 2020 10:05:05 GMT-0700 (PDT),2020-10-16,2020-10-16 17:05:05 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-23 05:38:29 UTC,2021-05-13 03:57:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63298939,https://inaturalist-open-data.s3.amazonaws.com/photos/101565386/medium.jpg,,"","",1,0,false,3,"SE 123rd St, Issaquah, WA, US",47.49236667,-122.06390283,,,,,,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Multiple Symptoms,,tree is dead,,More than 10,,"Yes (please elaborate in Notes, add Picture if possible)","Fungal Activitiy (mycelial fans, mushrooms at base, or conks on trunk)",,,,,,,Middle of a slope,,,,No Selection,""
65828255,Fri Nov 20 2020 12:03:59 GMT-0800 (PST),2020-11-20,2020-11-20 22:03:59 UTC,Hawaii,500327,jmhulbert,Joey H,2020-11-29 18:07:00 UTC,2021-05-12 21:37:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65828255,https://inaturalist-open-data.s3.amazonaws.com/photos/106018030/medium.jpg,,"","",1,0,false,3,"39th Ave NE, Seattle, WA, US",47.667575,-122.28566667,5,,,,5,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,No,No selection,,Urban Landscaped,Yard or open park grounds,,Other,,Area is flat (e.g. field),,,,No Selection,""
