id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree canopy symptoms,field:optional - did the tree have heat damage,field:percent canopy affected (%),field:dieback percent,field:number of additional unhealthy trees (of same species) in area (within sight),field:percent of trees (of same species) within sight that are unhealthy,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - site type,field:optional - site/location description,field:optional - site/area disturbance level,field:optional - site hydrology,field:optional - access to water,field:optional - slope position,field:optional - were there any other unhealthy plant species on the site?,field:optional - timing of symptoms estimate,field:optional - estimated time spent to make this observation (# of minutes),field:optional - can we follow up with you?,field:notes
19006459,2018/12/13 2:12 PM PST,2018-12-13,2018-12-13 22:12:00 UTC,Pacific Time (US & Canada),1075602,geographerdave,David Anderson,2018-12-14 02:47:00 UTC,2023-01-21 01:27:21 UTC,casual,CC-BY-NC-SA,https://www.inaturalist.org/observations/19006459,https://inaturalist-open-data.s3.amazonaws.com/photos/29146027/medium.jpeg,,"phytophthora, Western Redcedar, Thuja plicata","The cedars in Lents Park are mostly dying, or in the early stages of dying.  The cedars along the I-205 bike path in the same area are also dead, or dying.  Phytophthora?
",1,0,true,,"Lents Park, Portland, OR, USA",45.487538793,-122.5718280809,154,,,,154,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,New Dead Top (red or brown needles still attached),,60-99% of the canopy is unhealthy,,2-3,,Not sure,,,Urban,Urban yard or open park grounds,,Upland or well drained,,Area is flat (e.g. field),,,,Yes,This and two other neighboring trees died and were removed in summer 2020
50208705,Fri Jun 19 2020 16:10:32 GMT-0700 (PDT),2020-06-19,2020-06-19 23:10:32 UTC,Pacific Time (US & Canada),3064171,fernsibley,Fern,2020-06-19 23:54:57 UTC,2021-09-03 06:32:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/50208705,https://inaturalist-open-data.s3.amazonaws.com/photos/79729599/medium.jpg,,"",,1,0,false,3,"Oaks Bottom Wildlife Refuge, Portland, OR, US",45.47232,-122.653725,,,,,,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Branch Dieback or 'Flagging',,1-29% of the canopy is unhealthy,,Not sure,,"Yes (please elaborate in Notes, add Picture if possible)",Other (please describe in Notes),Medium,,Inside a forest canopy,"Medium (moderately used trails, etc)",,,,,,,,Human-caused damage.
51849686,Fri Jul 03 2020 15:20:51 GMT-0700 (PDT),2020-07-03,2020-07-03 22:20:51 UTC,Pacific Time (US & Canada),3064171,fernsibley,Fern,2020-07-03 23:18:36 UTC,2021-03-20 04:13:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51849686,https://inaturalist-open-data.s3.amazonaws.com/photos/82400322/medium.jpg,,"",,1,0,false,3,"Mt. Tabor Park, Portland, OR, US",45.5162883333,-122.5966416667,,,,,,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,"Healthy, no dieback(0%)",,2-3,,"Yes (please elaborate in Notes, add Picture if possible)",,Medium,,Urban yard or open park grounds,"Medium (moderately used trails, etc)",,,,,,,,Several signs of insect damage. Unsure what kind of insect.
52996969,Mon Jul 13 2020 15:41:36 GMT-0700 (PDT),2020-07-13,2020-07-13 22:41:36 UTC,Pacific Time (US & Canada),3064171,fernsibley,Fern,2020-07-13 23:22:01 UTC,2021-03-20 04:12:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52996969,https://inaturalist-open-data.s3.amazonaws.com/photos/84274865/medium.jpg,,"",,1,0,false,3,"Balch Creek, Portland, OR, US",45.5276366667,-122.73137,,,,,,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,,Medium,,Inside a forest canopy,"Medium (moderately used trails, etc)",,,,,,,,
55095755,Sat Aug 01 2020 14:56:33 GMT-0700 (PDT),2020-08-01,2020-08-01 21:56:33 UTC,Pacific Time (US & Canada),3064171,fernsibley,Fern,2020-08-01 23:27:57 UTC,2022-08-20 07:45:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55095755,https://inaturalist-open-data.s3.amazonaws.com/photos/87706408/medium.jpg,,"",,1,0,false,3,"Tualatin River National Wildlife Refuge, Sherwood, OR, US",45.3880116667,-122.8368616667,,,,,,,open,false,,,,Washington,Oregon,United States,Oregon,Washington,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Branch Dieback or 'Flagging',,30-59% of the canopy is unhealthy,,0,,"Yes (please elaborate in Notes, add Picture if possible)","Needle disease (dieback, checking, blight, etc.)",Large,,Inside a forest canopy,"Medium (moderately used trails, etc)",,,,,,,,Damage from humans grabbing/pulling/breaking low branches.
67931089,2021-01-11 1:59:30 PM PST,2021-01-11,2021-01-11 21:59:30 UTC,Pacific Time (US & Canada),1075602,geographerdave,David Anderson,2021-01-12 00:04:28 UTC,2021-01-27 02:45:44 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/67931089,https://inaturalist-open-data.s3.amazonaws.com/photos/109881636/medium.jpeg,,"",three others at this location died and were cut about a year ago.  two remain and appear to have yellowing foliage,1,0,false,2,"Lents, Portland, OR, USA",45.4870293878,-122.572003305,4,,,,4,,open,false,gps,gps,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Yellowing Canopy,,"Healthy, no dieback(0%)",,2-3,,Not sure,,,Urban,Urban yard or open park grounds,"Medium (moderately used trails, etc)",Upland or well drained,,Area is flat (e.g. field),,,,Yes,"three other trees at this location were diseased, died, and were removed about a year ago"
68245512,2021-01-17 4:09:58 PM PST,2021-01-17,2021-01-18 00:09:58 UTC,Pacific Time (US & Canada),1075602,geographerdave,David Anderson,2021-01-18 00:33:46 UTC,2021-01-18 16:32:08 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/68245512,https://inaturalist-open-data.s3.amazonaws.com/photos/110453119/medium.jpeg,,"","appears healthy,. most of the trees here appear healthy.  some are not.
at a rest stop.  trees in the middle of the paved roaded/parking area appear healthy.  A few north of paved area did not.",1,0,false,2,"Ridgefield, WA 98642, USA",45.7996305556,-122.6816666667,,,,,,,open,false,gps,gps,,Clark,Washington,United States,Washington,Clark,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,2-3,,Not sure,No selection,,Other,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Top of slope,,,,Yes,
68245540,2021-01-17 4:10:15 PM PST,2021-01-17,2021-01-18 00:10:15 UTC,Pacific Time (US & Canada),1075602,geographerdave,David Anderson,2021-01-18 00:34:18 UTC,2021-01-24 16:07:12 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/68245540,https://inaturalist-open-data.s3.amazonaws.com/photos/110453182/medium.jpeg,,"",top thin.  not healthy; north of paved road/parking lot.  light was fading.  rest stop on southbound lanes of i-5,1,0,false,2,"Ridgefield, WA 98642, USA",45.7996305556,-122.6816666667,,,,,,,open,false,gps,gps,,Clark,Washington,United States,Washington,Clark,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,60-99% of the canopy is unhealthy,,1,,Not sure,,,Other,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Seasonally flooded area,,Area is flat (e.g. field),,,,Yes,
68982848,Tue Feb 02 2021 14:13:14 GMT-0800 (PST),2021-02-02,2021-02-02 22:13:14 UTC,Pacific Time (US & Canada),3064171,fernsibley,Fern,2021-02-03 00:50:43 UTC,2021-03-20 04:05:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68982848,https://inaturalist-open-data.s3.amazonaws.com/photos/111832357/medium.jpg,,"","",2,0,false,3,"S Macadam Ave, Portland, OR, US",45.4782466667,-122.6722033333,,,,,,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,1-29% of the canopy is unhealthy,,0,,Not sure,,Medium,Urban,Urban yard or open park grounds,,,,,,,,,
70064801,Tue Feb 23 2021 14:19:49 GMT-0800 (PST),2021-02-23,2021-02-23 22:19:49 UTC,Pacific Time (US & Canada),3064171,fernsibley,Fern,2021-02-24 00:34:40 UTC,2021-03-20 04:00:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70064801,https://inaturalist-open-data.s3.amazonaws.com/photos/113831581/medium.jpg,,"","",1,0,false,3,"Oaks Bottom Wildlife Refuge, Portland, OR, US",45.47808,-122.6536633333,,,,,,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,No,"Animal damage (woodpecker/sapsucker holes, bark peeling)",Small,,Inside a forest canopy,"Medium (moderately used trails, etc)",,,,,,,,"Seemed healthy, but very low and branching/close to the ground."
