X,Y,OBJECTID,Neighborho,Address,Date_Inven,SPECIES,MATURE_SIZ,FUNCTIONAL,Condition,DIAMETER,Site_Type,Site_Size,Site_Width,Wires,SITE_IMPRO,DN_AF1,lat,lon
-13659869.284099997952580,5705919.735999999567866,"1034",NORTHWEST DISTRICT,1528-1530 NW 28TH AVE,2012/08/25 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,16.500000000000000,,Medium,5.600000000000000,None,Improved,31.326055526733398,45.5335937400,-122.7086930000
-13660141.396600000560284,5706082.573900000192225,"2285",NORTHWEST DISTRICT,1707 NW 29TH AVE,2012/08/27 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,34.000000000000000,,Large,7.500000000000000,None,Improved,30.146945953369141,45.5346184100,-122.7111370000
-13657820.169099999591708,5705235.970700000412762,"3855",NORTHWEST DISTRICT,1849 NW KEARNEY ST,2012/09/28 13:43:24.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,51.500000000000000,,Small,3.700000000000000,None,Improved,30.731796264648438,45.5292909100,-122.6902860000
-13661064.584000000730157,5692013.500500000081956,"5135",WEST PORTLAND PARK,4104 SW PASADENA ST,2014/07/01 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Fair,7.100000000000000,NCNS,Large,,None,Unimproved,30.491575241088867,45.4460190400,-122.7194310000
-13660741.073799999430776,5692149.022599999792874,"5172",WEST PORTLAND PARK,3823 SW COMUS ST,2014/07/09 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Poor,10.000000000000000,NCNS,Large,,None,Unimproved,29.922845840454102,45.4468731500,-122.7165240000
-13660647.667500000447035,5691337.246100000105798,"5468",WEST PORTLAND PARK,3720 SW VACUNA ST,2014/07/30 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,0.500000000000000,NCNS,Large,,None,Unimproved,29.444210052490234,45.4417568500,-122.7156850000
-13660652.188899999484420,5691337.310600000433624,"5469",WEST PORTLAND PARK,3720 SW VACUNA ST,2014/07/30 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,7.000000000000000,NCNS,Large,,None,Unimproved,29.439716339111328,45.4417572600,-122.7157260000
-13661071.725899999961257,5691356.630300000309944,"5574",WEST PORTLAND PARK,11543 SW 41ST AVE,2014/07/30 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,12.500000000000000,CNS,Large,,None,Unimproved,29.564357757568359,45.4418790300,-122.7194950000
-13661503.465800000354648,5691583.049899999983609,"6186",WEST PORTLAND PARK,11339 SW 45TH AVE,2014/07/28 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,5.100000000000000,CNS,Large,,None,Unimproved,29.916343688964844,45.4433061000,-122.7233730000
-13650986.610999999567866,5704772.722000000067055,"6632",LAURELHURST,3410 NE GLISAN ST,2014/08/09 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Fair,1.600000000000000,strip,Large,8.300000000000002,None,Improved,31.250810623168945,45.5263755600,-122.6288990000
-13650969.419500000774860,5704773.025200000032783,"6633",LAURELHURST,3410 NE GLISAN ST,2014/08/09 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Fair,2.000000000000000,strip,Large,8.300000000000002,None,Improved,31.190977096557617,45.5263774700,-122.6287440000
-13651266.217499999329448,5703877.061200001277030,"6951",LAURELHURST,267 SE 33RD AVE,2014/08/09 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,3.300000000000000,strip,Large,7.500000000000000,None,Improved,31.170225143432617,45.5207385000,-122.6314100000
-13646924.721200000494719,5700504.737499999813735,"7836",SOUTH TABOR,6832 SE KELLY ST,2014/06/21 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,36.200000000000003,CNS,Large,,None,Unimproved,31.480960845947266,45.4995089100,-122.5924100000
-13647989.605299999937415,5700375.553500000387430,"8284",SOUTH TABOR,3313-3317 SE 59TH AVE,2014/07/19 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Fair,1.000000000000000,strip,Medium,8.400000000000000,High voltage,Improved,31.674167633056641,45.4986955000,-122.6019760000
-13652785.015000000596046,5705313.462000000290573,"8874",KERNS,NE 20TH AVE,2014/08/01 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Fair,17.899999999999999,NCNS,Large,,None,Unimproved,31.738336563110352,45.5297785600,-122.6450540000
-13650113.049499999731779,5705263.010900000110269,"8997",LAURELHURST,4115 NE LAURELHURST PL,2014/07/30 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,48.600000000000001,strip,Large,9.000000000000000,None,Improved,31.175447463989254,45.5294610700,-122.6210510000
-13650106.477700002491474,5705264.130099999718368,"8998",LAURELHURST,4115 NE LAURELHURST PL,2014/07/30 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Good,33.799999999999997,strip,Large,9.000000000000000,None,Improved,31.173061370849609,45.5294681200,-122.6209920000
-13651279.617599999532104,5704871.114000000059605,"9073",LAURELHURST,3208 NE HOYT ST,2014/06/30 00:00:00.000,Thuja plicata - western redcedar,Large,Coniferous evergreen,Fair,26.600000000000001,strip,Large,8.500000000000000,None,Improved,31.246305465698246,45.5269947800,-122.6315310000
