OBJECTID,SDOT Unit ID,SPR Unit ID,SDCI Unit ID,SPU Tree Unit ID,SPU Planting Unit ID,Pest Unit ID,Source Department,Scientific Name,Common Name,DBH,Ownership,Unit Description,GLOBALID,x,y,DN_AF1,lat,lon
"41571304",TRE-1056636,,,,,TRE-1056636,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"55",Private,6311 BROOKLYN AVE NE,e30779db-f704-43ca-90a4-5b8595330a71,1275473.23538689,249545.818947047,87.122932434082,47.6744955997,-122.3147659459
"41571760",TRE-1053185,,,,,TRE-1053185,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,3012 S ORCAS ST,90faa2c8-09d1-4a34-92ce-dad892927dc0,1279912.02604997,204329.983197793,87.0628662109375,47.5507920508,-122.2932702938
"41572504",TRE-1047638,,,,,TRE-1047638,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,1401 W GARFIELD ST,e1c20f7e-74be-4f57-afbd-31661162a39b,1260400.26454864,234770.213327721,87.1742553710938,47.6331847759,-122.3747345547
"41573090",TRE-34159,,,,,TRE-34159,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"38",Private,1714 2ND AV N,53bc034c-1c64-4961-938d-8e82a0e40b69,1265736.99993815,235107.000055715,88.0050506591797,47.6343988592,-122.3531208344
"41573141",TRE-46664,,,,,TRE-46664,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"37",Private,1508 E PROSPECT ST,d223f9a7-bd9b-450b-ab09-8fee85795cbb,1275838.00007731,232847.999980554,86.0218200683594,47.6287464498,-122.3119834205
"41573420",TRE-1029464,,,,,TRE-1029464,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"11",Seattle Department of Transportation,5500 SAND POINT WY NE,1aecb268-5323-48cd-a2d9-c67d37d4a530,1283542.34424864,246278.042018056,88.950927734375,47.6659597341,-122.2817691315
"41573472",TRE-68816,,,,,TRE-68816,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"31",Private,308 28TH AVE S,a078d81c-af3c-4015-934c-5aa26c82350c,1279541.99988714,222293.000093222,86.9417114257812,47.6000093643,-122.2961509917
"41573635",TRE-501017,,,,,TRE-501017,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"7",Seattle Department of Transportation,4800 BEACON AVE S MEDIAN,e434fa70-1962-48fe-8f16-c874a387e82f,1277244.88079372,207210.945283636,87.3493957519531,47.5585495236,-122.3042916889
"41573641",TRE-501107,,,,,TRE-501107,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"21",Seattle Department of Transportation,7515 BEACON AVE S,d8e40f77-c905-492f-ab34-a4df631233ed,1280485.78310455,198575.7624228,87.0890502929688,47.5350495443,-122.2905061449
"41573944",TRE-48549,,,,,TRE-48549,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"26",Seattle Department of Transportation,E MERCER ST AND 16TH AVE E,9244f6de-f855-436a-9227-90d244cac86f,1275964.04739739,231276.750170305,87.2023162841797,47.6244463187,-122.3113499559
"41574014",TRE-500980,,,,,TRE-500980,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,3000 HARBOR AVE SW,de056cad-2108-4fe4-a08b-455d1388c24f,1260875.74555306,212349.934021384,86.7637939453125,47.5717581761,-122.3709896770
"41574211",TRE-80577,,,,,TRE-80577,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"7",Private,5277 44TH AV SW,dd38db69-f595-4018-8626-149ba4aa4def,1256415.00020948,206072.00005497,87.2686233520508,47.5543050219,-122.3885427704
"41574394",TRE-5547,,,,,TRE-5547,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"33",Private,4916 WHITMAN AVE N,730e5573-a895-45d6-84e5-08a5868a7a38,1267709.33851314,246199.115994796,87.823616027832,47.6649083732,-122.3460069649
"41574566",TRE-19005,,,,,TRE-19005,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"31",Private,11108 MERIDIAN AV N,6d083b03-43a0-45e8-b6b8-e92caef64095,1271072.24615739,262404.721378803,86.6119003295898,47.7095077130,-122.3336439253
"41574642",TRE-25574,,,,,TRE-25574,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,9700 LAKE CITY WY NE,5b20ee1e-a6a8-4b94-88d0-c1e6ab50c85e,1278750.76787381,258855.16811046,87.0277862548828,47.7001845551,-122.3021858647
"41575001",TRE-88728,,,,,TRE-88728,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"32",Private,8602 RENTON AV S,83b8b4a3-cc11-4c8c-a2b6-c855350df844,1283840.0001494,195234.999747381,87.6747589111328,47.5260657775,-122.2766763688
"41575205",TRE-45712,,,,,TRE-45712,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"33",Private,621 26TH AVE E,26b7b636-3aa3-4aac-8173-a30245ab2560,1278949.99975881,231469.00011389,86.8195724487305,47.6251298386,-122.2992585081
"41575304",TRE-500081,,,,,TRE-500081,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"17",Seattle Department of Transportation,11002 24TH AVE NE,3e402de8-eda3-48ee-97a3-65248c0e879a,1278549.1465579,262171.710033804,86.3659744262695,47.7092645796,-122.3032617585
"41575930",TRE-15835,,,,,TRE-15835,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"36",Private,4317 PALATINE AV N,b5ae66c6-3505-4fc3-a922-65601b4d03f3,1265165.33277439,244481.629600391,86.5951690673828,47.6600632832,-122.3561913872
"41576053",TRE-11579,,,,,TRE-11579,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"10",Seattle Department of Transportation,5500 SAND POINT WY NE,07f1f8b8-8631-4418-a68b-6530d06f4474,1285896.73947422,247402.021397382,87.8649520874023,47.6691616440,-122.2723010331
"41576230",TRE-19851,,,,,TRE-19851,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,11039 40TH AV NE,067e529b-a33c-4fc2-8a5f-aed38d156a19,1282933.99999289,262178.00004746,86.8651733398438,47.7095100253,-122.2854551231
