id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree canopy symptoms,field:optional - did the tree have heat damage,field:percent canopy affected (%),field:dieback percent,field:number of additional unhealthy trees (of same species) in area (within sight),field:percent of trees (of same species) within sight that are unhealthy,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - site type,field:optional - site/location description,field:optional - site/area disturbance level,field:optional - site hydrology,field:optional - access to water,field:optional - slope position,field:optional - were there any other unhealthy plant species on the site?,field:optional - timing of symptoms estimate,field:optional - estimated time spent to make this observation (# of minutes),field:optional - can we follow up with you?,field:notes
63298788,Sat Oct 17 2020 16:43:07 GMT-0700 (PDT),2020-10-17,2020-10-17 23:43:07 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2020-10-23 05:33:16 UTC,2022-02-17 06:10:05 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/63298788,https://inaturalist-open-data.s3.amazonaws.com/photos/101565137/medium.jpg,,"","",1,0,true,3,"N Waterfront Dr, Tacoma, WA, US",47.30351667,-122.516525,100,,,,100,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,New Dead Top (red or brown needles still attached),,1-29% of the canopy is unhealthy,,2-3,,Unsure,"Insect damage on trunk (holes, frass, galleries, etc.)",Large (too big to wrap arms around trunk),,,,,,Summit of hill or mountain,,,,Yes,""
65827522,Tue Nov 24 2020 14:06:45 GMT-0800 (PST),2020-11-24,2020-11-25 00:06:45 UTC,Hawaii,500327,jmhulbert,Joey H,2020-11-29 17:57:08 UTC,2022-02-17 06:09:45 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/65827522,https://inaturalist-open-data.s3.amazonaws.com/photos/106016904/medium.jpg,,"","",1,0,true,3,"Franklin Park, Tacoma, WA, US",47.24783333,-122.48095833,10,,,,10,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,No,No selection,Large (too big to wrap arms around trunk),Urban Landscaped,Yard or open park grounds,,Upland or well drained,,Area is flat (e.g. field),,,,No Selection,""
65827983,Tue Nov 24 2020 14:11:44 GMT-0800 (PST),2020-11-24,2020-11-25 00:11:44 UTC,Hawaii,500327,jmhulbert,Joey H,2020-11-29 18:03:24 UTC,2022-02-17 06:09:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65827983,https://inaturalist-open-data.s3.amazonaws.com/photos/106017615/medium.jpg,,"","",1,0,false,3,"Franklin Park, Tacoma, WA, US",47.24966333,-122.48195,5,,,,5,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,No,No selection,Medium (can wrap arms around trunk),Urban Landscaped,Yard or open park grounds,,Upland or well drained,,Area is flat (e.g. field),,,,No Selection,""
66585862,Mon Dec 14 2020 12:50:05 GMT-0800 (PST),2020-12-14,2020-12-14 22:50:05 UTC,Hawaii,500327,jmhulbert,Joey H,2020-12-14 21:46:45 UTC,2022-02-17 06:09:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/66585862,https://inaturalist-open-data.s3.amazonaws.com/photos/107372933/medium.jpg,,"","",1,0,false,3,"Point Defiance Park, Tacoma, WA, US",47.302145,-122.52431333,10,,,,10,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Tree is dead,,tree is dead,,2-3,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Roadside,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,Area is flat (e.g. field),,,,No Selection,""
68378273,Wed Jan 20 2021 11:56:42 GMT-0800 (PST),2021-01-20,2021-01-20 21:56:42 UTC,Hawaii,500327,jmhulbert,Joey H,2021-01-20 20:17:27 UTC,2022-02-17 06:08:44 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/68378273,https://inaturalist-open-data.s3.amazonaws.com/photos/110704028/medium.jpg,,"","",1,0,true,3,"S Adams St, Tacoma, WA, US",47.2452264559,-122.4858716225,5,,,,5,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,No,No selection,Large (too big to wrap arms around trunk),Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",Upland or well drained,,Area is flat (e.g. field),,,,No Selection,"Some pitch observed on trunk, but no signs of insects or fungi"
69964682,Mon Feb 15 2021 16:08:05 GMT-0800 (PST),2021-02-15,2021-02-16 02:08:05 UTC,Hawaii,500327,jmhulbert,Joey H,2021-02-22 02:43:21 UTC,2022-02-17 06:08:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/69964682,https://inaturalist-open-data.s3.amazonaws.com/photos/113649107/medium.jpg,,"","",2,0,false,3,"Swan Creek Park, Tacoma, WA, US",47.21985,-122.3960333333,5,,,,5,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,1-29% of the canopy is unhealthy,,2-3,,Not sure,No selection,Medium (can wrap arms around trunk),Urban,Forest edge,"Medium (moderately used trails, etc)",Upland or well drained,,Top of slope,,,,No Selection,""
71383170,2021-02-27 17:08:22,2021-02-27,2021-02-28 01:08:22 UTC,Pacific Time (US & Canada),802464,joshuamorris,Joshua Morris,2021-03-16 20:48:12 UTC,2021-03-16 21:44:22 UTC,research,CC0,https://www.inaturalist.org/observations/71383170,https://inaturalist-open-data.s3.amazonaws.com/photos/116213357/medium.jpg,,"","",1,0,false,,"Pierce County, US-WA, US",47.210242,-122.469824,9,,,,9,,open,false,,"",Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,30-59% of the canopy is unhealthy,,0,,Not sure,,,,,,,,,,,,,
71383174,2021-02-27 15:58:31,2021-02-27,2021-02-27 23:58:31 UTC,Pacific Time (US & Canada),802464,joshuamorris,Joshua Morris,2021-03-16 20:48:14 UTC,2021-04-26 03:10:54 UTC,research,CC0,https://www.inaturalist.org/observations/71383174,https://inaturalist-open-data.s3.amazonaws.com/photos/116213360/medium.jpg,,"","",1,0,false,,"Pierce County, US-WA, US",47.210676,-122.470536,9,,,,9,,open,false,,"",Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,1-29% of the canopy is unhealthy,,1,,Not sure,,Small,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,,,,,Yes,
71501927,Tue Mar 16 2021 08:01:51 GMT-0700 (PDT),2021-03-16,2021-03-16 15:01:51 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2021-03-18 18:53:01 UTC,2021-03-20 04:16:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71501927,https://inaturalist-open-data.s3.amazonaws.com/photos/116424314/medium.jpg,,"","",1,0,false,3,"Point Defiance Park, Tacoma, WA, US",47.3178416667,-122.5401616667,5,,,,5,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Thinning Canopy,,30-59% of the canopy is unhealthy,,0,,No,No selection,Medium,Urban,Forest edge,"Low - fairly natural, not much development",Upland or well drained,,Top of slope,,,,No Selection,""
71715930,Sat Mar 20 2021 11:26:38 GMT-0700 (PDT),2021-03-20,2021-03-20 18:26:38 UTC,Pacific Time (US & Canada),500327,jmhulbert,Joey H,2021-03-21 16:46:58 UTC,2022-02-17 06:08:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71715930,https://inaturalist-open-data.s3.amazonaws.com/photos/116805146/medium.jpg,,"","",2,0,false,3,"Swan Creek Park, Tacoma, WA, US",47.2045966667,-122.3959883333,10,,,,10,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Old Dead Top (needles already gone),,1-29% of the canopy is unhealthy,,1,,No,No selection,Small (can wrap hands around trunk),Suburban,Inside a forest canopy,"Low - fairly natural, not much development",Other,,Floodplain or valley bottom,,,,No Selection,"Many root rot pockets in the area, but not obvious at this spot"
