field_1,id,latitude,longitude,place_town,place_coun,DN_AM1,DN_AF1,DN_PM1,area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial
"189","97046350",45.465380000000003,-122.591324999999998,Portland,Multnomah,13.947767257690430,31.758638381958008,29.292922973632812,"6055","128",C,#ffff00,,,"3","0",0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609","1","0","0"
"380","189152210",45.473978333300003,-122.613483333299996,Portland,Multnomah,14.216356277465820,31.308189392089844,29.291728973388672,"6055","128",C,#ffff00,,,"3","0",0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609","1","0","0"
"381","189153982",45.464866666699997,-122.604685000000003,Portland,Multnomah,13.933424949645996,31.439195632934570,29.298707962036133,"6055","128",C,#ffff00,,,"3","0",0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609","1","0","0"
"382","189155601",45.471769999999999,-122.599549999999994,Portland,Multnomah,14.786270141601562,31.663541793823246,29.591028213500977,"6055","128",C,#ffff00,,,"3","0",0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609","1","0","0"
"383","189156214",45.473073333300000,-122.598171666699997,Portland,Multnomah,14.531364440917969,31.695865631103516,29.324380874633789,"6055","128",C,#ffff00,,,"3","0",0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609","1","0","0"
"385","189159929",45.473025000000000,-122.591271666699996,Portland,Multnomah,14.261619567871094,31.809434890747070,29.574499130249023,"6055","128",C,#ffff00,,,"3","0",0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609","1","0","0"
"386","189160946",45.473546666700003,-122.590588333300005,Portland,Multnomah,14.527973175048828,31.779644012451172,29.578910827636719,"6055","128",C,#ffff00,,,"3","0",0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609","1","0","0"
"8","70133946",45.482436279100000,-122.715794853899993,Portland,Multnomah,14.976892471313477,30.470251083374023,27.209440231323246,"6058","128",B,#7cb5bd,,,"2","0",0.000423278365128,"[ [ 45.461960, -122.725210 ], [ 45.506980, -122.673960 ] ]","45.479,-122.705","1","0","0"
"219","101666812",45.472071666700003,-122.678453333299998,Portland,Multnomah,15.184647560119627,29.768835067749023,27.262228012084961,"6058","128",B,#7cb5bd,,,"2","0",0.000423278365128,"[ [ 45.461960, -122.725210 ], [ 45.506980, -122.673960 ] ]","45.479,-122.705","1","0","0"
"230","113967781",45.468383333299997,-122.711455555599997,Portland,Multnomah,14.733751296997070,30.976320266723633,27.220054626464844,"6058","128",B,#7cb5bd,,,"2","0",0.000423278365128,"[ [ 45.461960, -122.725210 ], [ 45.506980, -122.673960 ] ]","45.479,-122.705","1","0","0"
