"","id","latitude","longitude","place_town_name","place_county_name"
"1",19006459,45.487538793,-122.5718280809,"Portland","Multnomah"
"2",50208705,45.47232,-122.653725,"Portland","Multnomah"
"3",51849686,45.5162883333,-122.5966416667,"Portland","Multnomah"
"4",52996969,45.5276366667,-122.73137,"Portland","Multnomah"
"5",67931089,45.4870293878,-122.572003305,"Portland","Multnomah"
"6",68982848,45.4782466667,-122.6722033333,"Portland","Multnomah"
"7",70064801,45.47808,-122.6536633333,"Portland","Multnomah"
"8",70133946,45.4824362791,-122.7157948539,"Portland","Multnomah"
"9",70985842,45.4733722222,-122.5517944444,"Portland","Multnomah"
"10",71720072,45.457253,-122.674974,"Portland","Multnomah"
"11",72022600,45.447609,-122.689683,"Portland","Multnomah"
"12",72231921,45.460528,-122.738275,"Portland","Multnomah"
"13",72288005,45.5510289722,-122.6162419722,"Portland","Multnomah"
"14",72407726,45.4585916667,-122.7203472222,"Portland","Multnomah"
"15",72428716,45.4576027778,-122.7227305556,"Portland","Multnomah"
"16",72758141,45.5212916667,-122.6245944444,"Portland","Multnomah"
"17",72860248,45.5956055556,-122.7867694444,"Portland","Multnomah"
"18",72905217,45.507138829,-122.6276432512,"Portland","Multnomah"
"19",73140023,45.5401669303,-122.7231626307,"Portland","Multnomah"
"20",73648037,45.5305315757,-122.7239389467,"Portland","Multnomah"
"21",73648884,45.530548003,-122.72394704,"Portland","Multnomah"
"22",73652878,45.5365970925,-122.719349636,"Portland","Multnomah"
"23",73775302,45.5029340438,-122.5055471581,"Portland","Multnomah"
"24",73805528,45.5008972222,-122.50115,"Portland","Multnomah"
"25",74171790,45.4761720216,-122.6842602064,"Portland","Multnomah"
"26",74297110,45.5170136374,-122.7135728031,"Portland","Multnomah"
"27",74333715,45.5695694444,-122.6061194444,"Portland","Multnomah"
"28",74458002,45.5792722222,-122.5738333333,"Portland","Multnomah"
"29",74458044,45.5792722222,-122.5738333333,"Portland","Multnomah"
"30",74458088,45.5792722222,-122.5738333333,"Portland","Multnomah"
"31",74458168,45.5792722222,-122.5738333333,"Portland","Multnomah"
"32",74458213,45.5792722222,-122.5738333333,"Portland","Multnomah"
"33",74490570,45.5792722222,-122.5738333333,"Portland","Multnomah"
"34",74490884,45.5792722222,-122.5738333333,"Portland","Multnomah"
"35",74491218,45.5792722222,-122.5738333333,"Portland","Multnomah"
"36",74493312,45.5792722222,-122.5738333333,"Portland","Multnomah"
"37",74548406,45.4727783333,-122.5028333333,"Portland","Multnomah"
"38",74735203,45.4971461482,-122.6717274863,"Portland","Multnomah"
"39",74803282,45.5778783333,-122.77842,"Portland","Multnomah"
"40",74803766,45.5757916667,-122.7706616667,"Portland","Multnomah"
"41",74941340,45.4798194444,-122.5152833333,"Portland","Multnomah"
"42",75400898,45.5457583333,-122.5661805556,"Portland","Multnomah"
"43",75511114,45.6492861111,-122.7620833333,"Portland","Multnomah"
"44",75512119,45.6483083333,-122.7636,"Portland","Multnomah"
"45",75565908,45.4714091773,-122.721484024,"Portland","Multnomah"
"46",75567911,45.4712550453,-122.7220161565,"Portland","Multnomah"
"47",75568638,45.4715251786,-122.7225284912,"Portland","Multnomah"
"48",75569027,45.4715810533,-122.720990733,"Portland","Multnomah"
"49",75569183,45.4714747083,-122.7224794407,"Portland","Multnomah"
"50",75569298,45.4714437976,-122.722758686,"Portland","Multnomah"
"51",75569485,45.4715431156,-122.7214778681,"Portland","Multnomah"
"52",75569831,45.4715002422,-122.7216917743,"Portland","Multnomah"
"53",75570154,45.4711944284,-122.7220900824,"Portland","Multnomah"
"54",75570844,45.4718017392,-122.7210073919,"Portland","Multnomah"
"55",75571653,45.4709691231,-122.7219081143,"Portland","Multnomah"
"56",75571770,45.4713502061,-122.7228506563,"Portland","Multnomah"
"57",75572036,45.4712310993,-122.7219676228,"Portland","Multnomah"
"58",75584154,45.4713134766,-122.7219157388,"Portland","Multnomah"
"59",75586671,45.47124686,-122.72188448,"Portland","Multnomah"
"60",75599170,45.5909277778,-122.7545555556,"Portland","Multnomah"
"61",75674889,45.517061,-122.704894,"Portland","Multnomah"
"62",75868865,45.52096159,-122.70200332,"Portland","Multnomah"
"63",75872644,45.5210192688,-122.7017770429,"Portland","Multnomah"
"64",75874917,45.52110358,-122.70148249,"Portland","Multnomah"
"65",75983648,45.5726354057,-122.6117502899,"Portland","Multnomah"
"66",76605285,45.4555833333,-122.6732222222,"Portland","Multnomah"
"67",76624870,45.4559138889,-122.6704611111,"Portland","Multnomah"
"68",76629311,45.4566555556,-122.6703138889,"Portland","Multnomah"
"69",76631592,45.4566527778,-122.6710166667,"Portland","Multnomah"
"70",76640463,45.4566944444,-122.6720722222,"Portland","Multnomah"
"71",76666696,45.4554611111,-122.6745638889,"Portland","Multnomah"
"72",76667766,45.4554805556,-122.6745472222,"Portland","Multnomah"
"73",76696107,45.4555361111,-122.6752611111,"Portland","Multnomah"
"74",76709504,45.5228880141,-122.7029508447,"Portland","Multnomah"
"75",76722420,45.52352564,-122.70367434,"Portland","Multnomah"
"76",76729758,45.52336763,-122.70390359,"Portland","Multnomah"
"77",76754963,45.52332255,-122.70148982,"Portland","Multnomah"
"78",77931046,45.594787083,-122.7148089169,"Portland","Multnomah"
"79",79403269,45.4887771064,-122.4955972023,"Portland","Multnomah"
"80",79795380,45.51483,-122.7184133333,"Portland","Multnomah"
"81",79798662,45.5146951808,-122.7183352306,"Portland","Multnomah"
"82",79802035,45.5148046847,-122.7181148242,"Portland","Multnomah"
"83",79805855,45.5143433314,-122.7156651009,"Portland","Multnomah"
"84",79809971,45.5135813552,-122.7194119562,"Portland","Multnomah"
"85",79812540,45.5136650787,-122.7195340483,"Portland","Multnomah"
"86",80653580,45.5183492555,-122.7153005732,"Portland","Multnomah"
"87",80654989,45.5174792139,-122.7150939592,"Portland","Multnomah"
"88",80755067,45.5144452132,-122.7186296986,"Portland","Multnomah"
"89",81910497,45.5102233887,-122.716386357,"Portland","Multnomah"
"90",82230061,45.4729172867,-122.5040527248,"Portland","Multnomah"
"91",82319512,45.51400254,-122.71962108,"Portland","Multnomah"
"92",82327258,45.51279488,-122.71597708,"Portland","Multnomah"
"93",82335470,45.5131859,-122.71408798,"Portland","Multnomah"
"94",82336309,45.51308712,-122.71432504,"Portland","Multnomah"
"95",82338709,45.5129284691,-122.7107568273,"Portland","Multnomah"
"96",82345498,45.511869751,-122.7149916162,"Portland","Multnomah"
"97",82350037,45.512407953,-122.715653116,"Portland","Multnomah"
"98",82371091,45.5115514482,-122.7180225124,"Portland","Multnomah"
"99",82371404,45.511552915,-122.7182631568,"Portland","Multnomah"
"100",82445420,45.5170283333,-122.7139116667,"Portland","Multnomah"
"101",82448925,45.5172713375,-122.7130117085,"Portland","Multnomah"
"102",82448987,45.5200605831,-122.7077576404,"Portland","Multnomah"
"103",82449489,45.5168133333,-122.7132783333,"Portland","Multnomah"
"104",82492592,45.5165995899,-122.713982787,"Portland","Multnomah"
"105",82494077,45.516205,-122.71435,"Portland","Multnomah"
"106",82693780,45.51645,-122.7148616667,"Portland","Multnomah"
"107",82696271,45.5164983181,-122.7148997428,"Portland","Multnomah"
"108",82752477,45.5179226585,-122.7133889963,"Portland","Multnomah"
"109",83096820,45.5254529622,-122.7157519385,"Portland","Multnomah"
"110",83350322,45.5080638889,-122.7157166667,"Portland","Multnomah"
"111",83472951,45.5110972222,-122.7153444444,"Portland","Multnomah"
"112",83473193,45.5182737383,-122.7175647765,"Portland","Multnomah"
"113",83473813,45.508175,-122.7132222222,"Portland","Multnomah"
"114",83562291,45.5115426239,-122.7116828907,"Portland","Multnomah"
"115",83563381,45.5113445539,-122.7121949884,"Portland","Multnomah"
"116",83566783,45.5110283884,-122.71904321,"Portland","Multnomah"
"117",83809392,45.517306,-122.718998,"Portland","Multnomah"
"118",83810196,45.517306,-122.718998,"Portland","Multnomah"
"119",84320891,45.5113843969,-122.7195812949,"Portland","Multnomah"
"120",84321788,45.5112442933,-122.7196410579,"Portland","Multnomah"
"121",85951101,45.51662688,-122.71450219,"Portland","Multnomah"
"122",85993500,45.51671999,-122.7180051,"Portland","Multnomah"
"123",86364022,45.51075,-122.4915694444,"Portland","Multnomah"
"124",86581975,45.5159155789,-122.7185351365,"Portland","Multnomah"
"125",86585445,45.5159219648,-122.7190091377,"Portland","Multnomah"
"126",86730250,45.513346016,-122.7195829207,"Portland","Multnomah"
"127",86733691,45.5133719137,-122.7195891503,"Portland","Multnomah"
"128",86735676,45.5135385243,-122.7194133521,"Portland","Multnomah"
"129",86737269,45.5136622377,-122.7193925957,"Portland","Multnomah"
"130",88589058,45.5167739722,-122.7179653333,"Portland","Multnomah"
"131",88589921,45.5169217778,-122.7178895,"Portland","Multnomah"
"132",88864273,45.5873004673,-122.761043301,"Portland","Multnomah"
"133",89398239,45.5169074161,-122.7178410441,"Portland","Multnomah"
"134",89601530,45.4844633333,-122.612305,"Portland","Multnomah"
"135",89737458,45.519549763,-122.7188150183,"Portland","Multnomah"
"136",89893852,45.5178589359,-122.7178966922,"Portland","Multnomah"
"137",90089172,45.5176580619,-122.7172489383,"Portland","Multnomah"
"138",90817505,45.4744266667,-122.6705816667,"Portland","Multnomah"
"139",91060842,45.5178567991,-122.7178442015,"Portland","Multnomah"
"140",91422286,45.5135159072,-122.7194336654,"Portland","Multnomah"
"141",91427678,45.513750073,-122.7197336237,"Portland","Multnomah"
"142",91477503,45.5174321076,-122.7176315804,"Portland","Multnomah"
"143",92123906,45.50193,-122.6227416667,"Portland","Multnomah"
"144",92132264,45.5024963869,-122.6351615488,"Portland","Multnomah"
"145",93224407,45.497395,-122.6397166667,"Portland","Multnomah"
"146",93320242,45.487295,-122.5722283333,"Portland","Multnomah"
"147",93528506,45.5140533333,-122.6009216667,"Portland","Multnomah"
"148",94283153,45.5166166667,-122.58335,"Portland","Multnomah"
"149",94284521,45.5291833333,-122.583595,"Portland","Multnomah"
"150",94294048,45.5164083333,-122.5853883333,"Portland","Multnomah"
"151",94295324,45.5095283333,-122.5976416667,"Portland","Multnomah"
"152",94496093,45.5086420058,-122.7147665621,"Portland","Multnomah"
"153",95317914,45.51568,-122.715625,"Portland","Multnomah"
"154",95319296,45.517306,-122.718998,"Portland","Multnomah"
"155",95320160,45.517306,-122.718998,"Portland","Multnomah"
"156",95556782,45.514249127,-122.7156692076,"Portland","Multnomah"
"157",95560049,45.513645039,-122.7192980003,"Portland","Multnomah"
"158",95560676,45.5135233572,-122.7194187642,"Portland","Multnomah"
"159",95561389,45.5134411943,-122.7194441102,"Portland","Multnomah"
"160",95562252,45.5134404007,-122.7194795967,"Portland","Multnomah"
"161",95562725,45.5133739748,-122.7195673454,"Portland","Multnomah"
"162",95563529,45.5133122594,-122.7193844987,"Portland","Multnomah"
"163",95564552,45.5132892623,-122.7196003157,"Portland","Multnomah"
"164",95565443,45.5137634401,-122.7194804965,"Portland","Multnomah"
"165",95565881,45.5137381381,-122.7196046956,"Portland","Multnomah"
"166",95566100,45.5138059402,-122.7195119435,"Portland","Multnomah"
"167",95569172,45.5145061193,-122.7185952344,"Portland","Multnomah"
"168",95569344,45.5147562837,-122.7186023267,"Portland","Multnomah"
"169",95656044,45.5147952004,-122.7183768153,"Portland","Multnomah"
"170",95780842,45.5115572736,-122.7179157269,"Portland","Multnomah"
"171",95781588,45.511627053,-122.7181566228,"Portland","Multnomah"
"172",95783362,45.51405584,-122.71968817,"Portland","Multnomah"
"173",95786773,45.5128056,-122.71620336,"Portland","Multnomah"
"174",95788843,45.5101683,-122.7164968,"Portland","Multnomah"
"175",95789426,45.51298069,-122.71411795,"Portland","Multnomah"
"176",95791236,45.5124095036,-122.7153994796,"Portland","Multnomah"
"177",95792512,45.5171813965,-122.6917111063,"Portland","Multnomah"
"178",95877537,45.5270183227,-122.5787481387,"Portland","Multnomah"
"179",95879069,45.5386012327,-122.5993800258,"Portland","Multnomah"
"180",95991266,45.5495544943,-122.5886278042,"Portland","Multnomah"
"181",95992990,45.5389757781,-122.6005995927,"Portland","Multnomah"
"182",95995137,45.5454126187,-122.6103982051,"Portland","Multnomah"
"183",96130763,45.5809464895,-122.5730161741,"Portland","Multnomah"
"184",96158642,45.5183902011,-122.7149906942,"Portland","Multnomah"
"185",96253893,45.5724901121,-122.728009969,"Portland","Multnomah"
"186",96260488,45.5908719673,-122.7506300434,"Portland","Multnomah"
"187",96948017,45.468525,-122.63472,"Portland","Multnomah"
"188",97041514,45.4798366667,-122.6215666667,"Portland","Multnomah"
"189",97046350,45.46538,-122.591325,"Portland","Multnomah"
"190",97048927,45.53695,-122.6447,"Portland","Multnomah"
"191",97217789,45.50422,-122.6415333333,"Portland","Multnomah"
"192",97493630,45.5018383333,-122.68,"Portland","Multnomah"
"193",97563005,45.5139273208,-122.718245448,"Portland","Multnomah"
"194",97563486,45.5160856922,-122.7187958008,"Portland","Multnomah"
