"","id","latitude","longitude","place_town_name","place_county_name"
"1",63298788,47.30351667,-122.516525,"Tacoma","Pierce"
"2",65827522,47.24783333,-122.48095833,"Tacoma","Pierce"
"3",65827983,47.24966333,-122.48195,"Tacoma","Pierce"
"4",66585862,47.302145,-122.52431333,"Tacoma","Pierce"
"5",68378273,47.2452264559,-122.4858716225,"Tacoma","Pierce"
"6",69964682,47.21985,-122.3960333333,"Tacoma","Pierce"
"7",71383170,47.210242,-122.469824,"Tacoma","Pierce"
"8",71383174,47.210676,-122.470536,"Tacoma","Pierce"
"9",71501927,47.3178416667,-122.5401616667,"Tacoma","Pierce"
"10",71715930,47.2045966667,-122.3959883333,"Tacoma","Pierce"
"11",71806396,47.20335,-122.396645,"Tacoma","Pierce"
"12",80258047,47.2024805556,-122.4519111111,"Tacoma","Pierce"
"13",82447728,47.31803,-122.5431133333,"Tacoma","Pierce"
"14",83196980,47.3112033333,-122.5389333333,"Tacoma","Pierce"
"15",85039935,47.24763,-122.49292,"Tacoma","Pierce"
"16",87621560,47.30458,-122.5161533333,"Tacoma","Pierce"
"17",89281926,47.2453633333,-122.4411,"Tacoma","Pierce"
"18",89282903,47.1968533333,-122.4554366667,"Tacoma","Pierce"
"19",92304436,47.246955,-122.4848416667,"Tacoma","Pierce"
"20",93084584,47.252575,-122.4829783333,"Tacoma","Pierce"
"21",93084914,47.2525533333,-122.476945,"Tacoma","Pierce"
"22",94487596,47.195245,-122.4965366667,"Tacoma","Pierce"
"23",98614339,47.2294129321,-122.3986816251,"Tacoma","Pierce"
"24",101048826,47.19527204,-122.45786443,"Tacoma","Pierce"
"25",101641621,47.2477383333,-122.4803783333,"Tacoma","Pierce"
"26",102023719,47.198349363,-122.4557404013,"Tacoma","Pierce"
"27",102784541,47.19837,-122.4556416667,"Tacoma","Pierce"
"28",103263345,47.2026258333,-122.4509986111,"Tacoma","Pierce"
"29",105446764,47.2472416667,-122.4490133333,"Tacoma","Pierce"
"30",105791998,47.230045,-122.4257883333,"Tacoma","Pierce"
"31",107299997,47.25368,-122.4917966667,"Tacoma","Pierce"
"32",108967112,47.234840581,-122.4232086722,"Tacoma","Pierce"
"33",145054828,47.23658592,-122.45704277,"Tacoma","Pierce"
"34",145069407,47.23767516,-122.45207275,"Tacoma","Pierce"
"35",145069927,47.23911137,-122.45427476,"Tacoma","Pierce"
"36",145372548,47.26715326,-122.51362684,"Tacoma","Pierce"
"37",145373987,47.26566961,-122.50399299,"Tacoma","Pierce"
"38",145376461,47.26536384,-122.48573358,"Tacoma","Pierce"
"39",145376812,47.26569972,-122.48430261,"Tacoma","Pierce"
"40",145440816,47.24707758,-122.44720136,"Tacoma","Pierce"
"41",145441228,47.24692979,-122.4473679,"Tacoma","Pierce"
"42",145441528,47.24711523,-122.44692623,"Tacoma","Pierce"
"43",145443546,47.25753098,-122.44982575,"Tacoma","Pierce"
"44",145444010,47.25839413,-122.44992922,"Tacoma","Pierce"
"45",145444329,47.25855436,-122.44989817,"Tacoma","Pierce"
"46",145444960,47.25924004,-122.44968713,"Tacoma","Pierce"
"47",145445391,47.26058549,-122.4503282,"Tacoma","Pierce"
"48",145447796,47.26239274,-122.44894183,"Tacoma","Pierce"
"49",145448260,47.26105254,-122.44850744,"Tacoma","Pierce"
"50",145457978,47.24929618,-122.49944908,"Tacoma","Pierce"
"51",145458207,47.24957402,-122.49949661,"Tacoma","Pierce"
"52",145458444,47.24963116,-122.49949948,"Tacoma","Pierce"
"53",145536810,47.24467451,-122.49924458,"Tacoma","Pierce"
"54",145537069,47.24477791,-122.49920534,"Tacoma","Pierce"
"55",145537271,47.24489913,-122.49899434,"Tacoma","Pierce"
"56",145537547,47.24484457,-122.49882213,"Tacoma","Pierce"
"57",145541198,47.24868222,-122.49957439,"Tacoma","Pierce"
"58",145610525,47.26859,-122.51109444,"Tacoma","Pierce"
"59",145611367,47.26925115,-122.50803813,"Tacoma","Pierce"
"60",145613198,47.2693571,-122.49780661,"Tacoma","Pierce"
"61",145615551,47.26904946,-122.48439609,"Tacoma","Pierce"
"62",145693283,47.24497002,-122.49909683,"Tacoma","Pierce"
"63",145779480,47.27026943,-122.50270783,"Tacoma","Pierce"
"64",145779813,47.27011329,-122.50260655,"Tacoma","Pierce"
"65",145780377,47.2704895,-122.4958196,"Tacoma","Pierce"
"66",145780728,47.27029713,-122.49494777,"Tacoma","Pierce"
"67",145783378,47.27096936,-122.48351632,"Tacoma","Pierce"
"68",145783729,47.27146053,-122.48272204,"Tacoma","Pierce"
"69",145783881,47.27151204,-122.48244003,"Tacoma","Pierce"
"70",145784528,47.27107395,-122.47549003,"Tacoma","Pierce"
"71",145784706,47.27075349,-122.47485851,"Tacoma","Pierce"
"72",145990836,47.24431019,-122.52655585,"Tacoma","Pierce"
"73",145991111,47.24843031,-122.52397067,"Tacoma","Pierce"
"74",145992584,47.24978954,-122.51947305,"Tacoma","Pierce"
"75",146063649,47.22013071,-122.42108769,"Tacoma","Pierce"
"76",146063699,47.22003389,-122.4209839,"Tacoma","Pierce"
"77",146064369,47.21160332,-122.42101846,"Tacoma","Pierce"
"78",146076681,47.19411676,-122.4207837,"Tacoma","Pierce"
"79",146076738,47.1939878,-122.42089673,"Tacoma","Pierce"
"80",146077369,47.21061624,-122.42076031,"Tacoma","Pierce"
"81",146077783,47.21400986,-122.42056963,"Tacoma","Pierce"
"82",146144187,47.26932874,-122.50797891,"Tacoma","Pierce"
"83",146144410,47.26943502,-122.50794952,"Tacoma","Pierce"
"84",146144611,47.26939364,-122.50792488,"Tacoma","Pierce"
"85",146146812,47.26930954,-122.48500728,"Tacoma","Pierce"
"86",146147055,47.26881905,-122.48435342,"Tacoma","Pierce"
"87",146151610,47.25563389,-122.44746888,"Tacoma","Pierce"
"88",146157092,47.25586567,-122.44648221,"Tacoma","Pierce"
"89",146299340,47.24276721,-122.4931141,"Tacoma","Pierce"
"90",146299425,47.24273799,-122.49308933,"Tacoma","Pierce"
"91",146299652,47.24250188,-122.49304336,"Tacoma","Pierce"
"92",146299967,47.2424421,-122.4929338,"Tacoma","Pierce"
"93",146300065,47.24236412,-122.49226009,"Tacoma","Pierce"
"94",146301110,47.24006089,-122.49339849,"Tacoma","Pierce"
"95",146301454,47.24115744,-122.49324225,"Tacoma","Pierce"
"96",146301552,47.24184849,-122.49320872,"Tacoma","Pierce"
"97",146301617,47.24178893,-122.49314752,"Tacoma","Pierce"
"98",146301888,47.24215983,-122.49371243,"Tacoma","Pierce"
"99",146301970,47.24232827,-122.49395736,"Tacoma","Pierce"
"100",146302029,47.24239989,-122.49391603,"Tacoma","Pierce"
"101",146353078,47.24436555,-122.52654023,"Tacoma","Pierce"
"102",146353319,47.24441551,-122.52644359,"Tacoma","Pierce"
"103",146353544,47.24450649,-122.52651345,"Tacoma","Pierce"
"104",146353822,47.24490547,-122.52663145,"Tacoma","Pierce"
"105",146354059,47.24499574,-122.52666979,"Tacoma","Pierce"
"106",146354196,47.24502816,-122.52663009,"Tacoma","Pierce"
"107",146354526,47.24500041,-122.52674409,"Tacoma","Pierce"
"108",146354864,47.24581016,-122.52618979,"Tacoma","Pierce"
"109",146355514,47.24943021,-122.52599789,"Tacoma","Pierce"
"110",146356257,47.24976726,-122.51662535,"Tacoma","Pierce"
"111",146356562,47.24977444,-122.51655703,"Tacoma","Pierce"
"112",146356725,47.24982222,-122.5165631,"Tacoma","Pierce"
"113",146356826,47.24973127,-122.51636896,"Tacoma","Pierce"
"114",146360770,47.24495835,-122.48567333,"Tacoma","Pierce"
"115",146471517,47.2518283333,-122.40998,"Tacoma","Pierce"
