id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:tree canopy symptoms,field:optional - did the tree have heat damage,field:percent canopy affected (%),field:dieback percent,field:number of additional unhealthy trees (of same species) in area (within sight),field:percent of trees (of same species) within sight that are unhealthy,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:optional - what 'other factors' were observed?,field:optional - tree size,field:optional - site type,field:optional - site/location description,field:optional - site/area disturbance level,field:optional - site hydrology,field:optional - access to water,field:optional - slope position,field:optional - were there any other unhealthy plant species on the site?,field:optional - timing of symptoms estimate,field:optional - estimated time spent to make this observation (# of minutes),field:optional - can we follow up with you?,field:tree number (from google map) if applicable,field:notes
4601133,2016-11-19 9:14:24 AM PST,2016-11-19,2016-11-19 17:14:24 UTC,Pacific Time (US & Canada),300689,ewrunn1ng,Eric Running,2016-11-19 21:53:06 UTC,2021-03-15 02:34:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4601133,https://inaturalist-open-data.s3.amazonaws.com/photos/5562305/medium.jpeg,,,,1,0,false,2,"Pipers Creek Trail Seattle, WA 98177",47.7103004456,-122.3679733276,,,,,,,,false,gps,gps,,King,Washington,United States,Washington,King,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,Small,,,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",,,,,,,,,
6913373,2017/07/02 11:31 PM -0700,2017-07-02,2017-07-03 06:31:00 UTC,Arizona,521876,kurtsteinbach,Kurt Steinbach,2017-07-04 06:32:57 UTC,2021-09-06 00:31:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6913373,https://inaturalist-open-data.s3.amazonaws.com/photos/8826605/medium.jpeg,,"","",1,0,false,,"Marrowstone, WA 98358, USA",48.0243496245,-122.6784553527,15,,,,15,,,false,,"",,Jefferson,Washington,United States,Washington,Jefferson,Western Redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,0,No,No selection,Large (too big to wrap arms around trunk),Rural,Inside a forest canopy,"Low - fairly natural, not much development",Seasonally flooded area,,Floodplain or valley bottom,No,No selection,5,Yes,,I have been observing this tree for 31 years.  I has always been healthy.
8254344,2017/10/04 10:38 AM UTC,2017-10-04,,UTC,652298,giselle9,Giselle Blythe,2017-10-04 17:47:55 UTC,2021-09-06 19:39:07 UTC,research,CC0,https://www.inaturalist.org/observations/8254344,https://inaturalist-open-data.s3.amazonaws.com/photos/10947608/medium.jpeg,,"","",1,0,false,,"91 Lip Lip Ln S, Nordland, Marrowstone Is, WA, USA",48.018843,-122.671725,,,,,,,,false,,,,Jefferson,Washington,United States,Washington,Jefferson,Western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,No,"Healthy, no dieback(0%)",,0,,"Yes (please elaborate in Notes, add Picture if possible)",,Large (too big to wrap arms around trunk),Rural,Forest edge,"Medium (moderately used trails, etc)",Upland or well drained,,Area is flat (e.g. field),No,,,Yes,,"This tree was already large when we came here in 1978. Lots of small holes from resident downy woodpecker. Has endured cabin & garage building and installation of large underground cistern, all about 10 ft away."
12363639,2018/04/24,2018-04-24,,Pacific Time (US & Canada),707757,mhays,"",2018-05-11 22:18:36 UTC,2021-04-06 20:10:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12363639,https://inaturalist-open-data.s3.amazonaws.com/photos/17809371/medium.jpeg,,"","",2,0,false,,"Liberty Lake, Spokane County, WA, USA",47.6226150776,-117.0557749808,8,,,,8,,open,false,,,,Spokane,Washington,United States,Washington,Spokane,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,,,,,,,,,,,,,,
12563075,2018/05/01,2018-05-01,,Pacific Time (US & Canada),707757,mhays,"",2018-05-18 01:14:56 UTC,2021-01-22 00:10:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12563075,https://inaturalist-open-data.s3.amazonaws.com/photos/18150993/medium.jpg,,"","",1,0,false,,"Lochsa River, Idaho County, ID, USA",46.2137060812,-115.537214935,8,,,,8,,,false,,,,Idaho,Idaho,United States,Idaho,Idaho,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,,Rural,Inside a forest canopy,"Low - fairly natural, not much development",Upland or well drained,,Floodplain or valley bottom,,,,No Selection,,
12969530,2018/05/15,2018-05-15,,Pacific Time (US & Canada),707757,mhays,"",2018-05-31 00:46:50 UTC,2021-01-22 00:08:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12969530,https://inaturalist-open-data.s3.amazonaws.com/photos/18856148/medium.jpeg,,"","",1,0,false,,"Latah County, ID, USA",47.002998477,-116.677039665,8,,,,8,,,false,,,,Latah,Idaho,United States,Idaho,Latah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,,Rural,Forest edge,"Medium (moderately used trails, etc)",Upland or well drained,,Middle of a slope,,,,No Selection,,
19006459,2018/12/13 2:12 PM PST,2018-12-13,2018-12-13 22:12:00 UTC,Pacific Time (US & Canada),1075602,geographerdave,David Anderson,2018-12-14 02:47:00 UTC,2023-01-21 01:27:21 UTC,casual,CC-BY-NC-SA,https://www.inaturalist.org/observations/19006459,https://inaturalist-open-data.s3.amazonaws.com/photos/29146027/medium.jpeg,,"phytophthora, Western Redcedar, Thuja plicata","The cedars in Lents Park are mostly dying, or in the early stages of dying.  The cedars along the I-205 bike path in the same area are also dead, or dying.  Phytophthora?
",1,0,true,,"Lents Park, Portland, OR, USA",45.487538793,-122.5718280809,154,,,,154,,open,false,,,Portland,Multnomah,Oregon,United States,Oregon,Multnomah,western redcedar,Thuja plicata,western redcedar,Plantae,48252,New Dead Top (red or brown needles still attached),,60-99% of the canopy is unhealthy,,2-3,,Not sure,,,Urban,Urban yard or open park grounds,,Upland or well drained,,Area is flat (e.g. field),,,,Yes,,This and two other neighboring trees died and were removed in summer 2020
19184654,2018/12/23 2:05 PM PST,2018-12-23,2018-12-23 22:05:00 UTC,Pacific Time (US & Canada),300689,ewrunn1ng,Eric Running,2018-12-24 01:19:48 UTC,2021-02-02 13:10:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19184654,https://inaturalist-open-data.s3.amazonaws.com/photos/29465143/medium.jpeg,,"",,2,0,false,,"Briarcrest, Shoreline, WA 98155, USA",47.7430914414,-122.3109349687,15,,,,15,,open,false,,,,King,Washington,United States,Washington,King,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Healthy,,"Healthy, no dieback(0%)",,0,,Not sure,No selection,,Suburban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,Area is flat (e.g. field),,,,No Selection,,""
20544675,2019-02-21 1:01:47 PM PST,2019-02-21,2019-02-21 21:01:47 UTC,Pacific Time (US & Canada),1418161,kate274,Kate Ledger,2019-02-22 01:56:55 UTC,2021-08-17 17:22:08 UTC,research,,https://www.inaturalist.org/observations/20544675,https://static.inaturalist.org/photos/31715377/medium.jpeg,,"",,2,0,false,2,"Capital, CA-BC, CA",48.4761422127,-123.3113130648,8,,,,8,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Extra Cone Crop,Not Sure,1-29% of the canopy is unhealthy,,Not sure,-0,Not sure,,,,,,,,,,,,,,
25981751,Tue May 28 2019 16:02:18 GMT-0700 (PDT),2019-05-28,2019-05-28 23:02:18 UTC,Pacific Time (US & Canada),1494532,angelique_k,Angelique,2019-05-29 04:23:36 UTC,2021-11-16 21:23:58 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/25981751,https://inaturalist-open-data.s3.amazonaws.com/photos/40303205/medium.jpg,,"",,0,0,false,3,"1594 Rowan St, Victoria, BC, CA",48.4574580791,-123.335596862,92,,,,92,,open,false,,,"Saanich, British Columbia",Capital,British Columbia,Canada,British Columbia,Capital,western redcedar,Thuja plicata,western redcedar,Plantae,48252,Browning Canopy,,30-59% of the canopy is unhealthy,,0,,Not sure,No selection,No selection,Urban,Urban yard or open park grounds,"Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)",No Selection,,No selection,No selection,No selection,"",No Selection,,""
