"","field_1","id","latitude.x","longitude.x","place_town","place_coun","DN_AM1","DN_AF1","DN_PM1","area_id","city_id","grade","fill","label","name","category_i","sheets","area","bounds","label_coor","residentia","commercial","industrial","observed_on_string","observed_on","time_observed_at","time_zone","user_id","user_login","user_name","created_at","updated_at","quality_grade","license","url","image_url","sound_url","tag_list","description","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","place_guess","latitude.y","longitude.y","positional_accuracy","private_place_guess","private_latitude","private_longitude","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","place_town_name","place_county_name","place_state_name","place_country_name","place_admin1_name","place_admin2_name","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id","field.tree.canopy.symptoms","field.optional...did.the.tree.have.heat.damage","field.percent.canopy.affected....","field.dieback.percent","field.number.of.additional.unhealthy.trees..of.same.species..in.area..within.sight.","field.percent.of.trees..of.same.species..within.sight.that.are.unhealthy","field.other.factors...are.there.signs.or.symptoms.of.insect..diseases..or.other.damage.","field.optional...what..other.factors..were.observed.","field.optional...tree.size","field.optional...site.type","field.optional...site.location.description","field.optional...site.area.disturbance.level","field.optional...site.hydrology","field.optional...access.to.water","field.optional...slope.position","field.optional...were.there.any.other.unhealthy.plant.species.on.the.site.","field.optional...timing.of.symptoms.estimate","field.optional...estimated.time.spent.to.make.this.observation....of.minutes.","field.optional...can.we.follow.up.with.you.","field.tree.number..from.google.map..if.applicable","field.notes","mean.temp.daily","dist.from.mean.daily","Area","dist.from.mean.am","dist.from.mean.af","dist.from.mean.pm","OBJECTID","TRACTCE10","GEOID10","CountyFIPS","County10","Diesel_PM2","Diesel_Ran","Ozone_Conc","Ozone_Rank","PM2_5","PM2_5_Rank","Proximity_","Proximit_1","Toxic_Rele","RSEI_Rank","Lead_Risk_","Lead_Ris_1","PTSDFs","PTSDF_Rank","PNPL","PNPL_Rank","PRMP","PRMP_Rank","PWDIS","WDIS_Rank","LEP","LEP_Rank","No_HS_Dipl","No_HS_Di_1","POC","POC_Rank","Poverty","Poverty_Ra","Transporta","Transpor_1","Unaffordab","Unafford_1","Unemployed","Unemploy_1","CVD","CVD_Rank","LBW","LBW_Rank","Environmen","Environm_1","Socioecono","Sensitive_","Environm_2","SHAPE_Leng","SHAPE_Area","Percent.Dieback.Modified","user.estimated.dieback","tree.size.simplified","binary.tree.canopy.symptoms","ordinal.tree.canopy.symptoms","reclassified.tree.canopy.symptoms","top.dieback","thinning","dead","field.dieback.prop"
"1",380,189152210,45.4739783333,-122.6134833333,"Portland","Multnomah",57.5894412994385,88.3547409057617,84.7251121520996,6055,128,"C","#ffff00","","",3,0,0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609",1,0,0,"2023-10-27 13:17:52-07:00","2023-10-27","2023-10-27 20:17:52 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-10-27 20:19:06 UTC","2023-10-28 03:19:10 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/189152210","https://inaturalist-open-data.s3.amazonaws.com/photos/331268844/medium.jpg",NA,"","",1,0,"false",3,"SE 48th Ave, Portland, OR, US",45.4739783333,-122.6134833333,5,"",NA,NA,5,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Not Sure","Healthy, no dieback(0%)",0,"0",0,"Not sure","No selection","No selection","No Selection","No Selection","No Selection","No Selection","No selection","No selection","No selection","No selection","","No Selection","PWRC71","",76.8897647857666,1.35412112597761,"Portland",-2.467117598139,3.99047549264185,2.53900548343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","No Selection","Healthy","Healthy","Healthy","No","No","No",0
"2",381,189153982,45.4648666667,-122.604685,"Portland","Multnomah",57.0801649093628,88.5905521392822,84.737674331665,6055,128,"C","#ffff00","","",3,0,0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609",1,0,0,"2023-10-27 13:37:11-07:00","2023-10-27","2023-10-27 20:37:11 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-10-27 20:38:38 UTC","2023-10-28 03:19:08 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/189153982","https://inaturalist-open-data.s3.amazonaws.com/photos/331272419/medium.jpg",NA,"","",1,0,"false",3,"SE Crystal Springs Ct, Portland, OR, US",45.4648666667,-122.604685,10,"",NA,NA,10,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Old Dead Top (needles already gone)","Not Sure","1-29% of the canopy is unhealthy",5,"0",0,"Not sure","No selection","No selection","No Selection","No Selection","No Selection","No Selection","No selection","No selection","No selection","No selection","","Yes","PWRC65","Dead at the very top, 3 spires, branches just below are thinning? See photo",76.80279712677,1.26715346698103,"Portland",-2.97639398821469,4.22628672616236,2.55156766299542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","No Selection","Unhealthy","Unhealthy","Dead Top","Yes","No","No",0.05
"3",382,189155601,45.47177,-122.59955,"Portland","Multnomah",58.6152862548828,88.9943752288818,85.2638507843018,6055,128,"C","#ffff00","","",3,0,0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609",1,0,0,"2023-10-27 13:56:27-07:00","2023-10-27","2023-10-27 20:56:27 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-10-27 20:57:09 UTC","2023-10-28 03:19:07 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/189155601","https://inaturalist-open-data.s3.amazonaws.com/photos/331276299/medium.jpg",NA,"","",1,0,"false",3,"SE 62nd Ave, Portland, OR, US",45.47177,-122.59955,5,"",NA,NA,5,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Not Sure","Healthy, no dieback(0%)",0,"0",-62,"Not sure","Top Cutting or Intensive Pruning","No selection","No Selection","No Selection","No Selection","No Selection","No selection","No selection","No selection","No selection","","No Selection","PWRC66","",77.6245040893555,2.08886042956648,"Portland",-1.44127264269466,4.63010981576195,3.07774411563214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","No Selection","Healthy","Healthy","Healthy","No","No","No",0
"4",383,189156214,45.4730733333,-122.5981716667,"Portland","Multnomah",58.1564559936523,89.0525581359863,84.7838855743408,6055,128,"C","#ffff00","","",3,0,0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609",1,0,0,"2023-10-27 14:03:21-07:00","2023-10-27","2023-10-27 21:03:21 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-10-27 21:04:42 UTC","2023-10-28 03:19:06 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/189156214","https://inaturalist-open-data.s3.amazonaws.com/photos/331278147/medium.jpg",NA,"","",1,0,"false",3,"SE 63rd Ave, Portland, OR, US",45.4730733333,-122.5981716667,5,"",NA,NA,5,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","Not Sure","Healthy, no dieback(0%)",0,"0",0,"Not sure","No selection","No selection","No Selection","No Selection","No Selection","No Selection","No selection","No selection","No selection","No selection","","No Selection","PWRC67","",77.3309665679932,1.79532290820417,"Portland",-1.90010290392514,4.68829272286645,2.59777890567121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","No Selection","Healthy","Healthy","Healthy","No","No","No",0
"5",385,189159929,45.473025,-122.5912716667,"Portland","Multnomah",57.670915222168,89.2569828033447,85.2340984344482,6055,128,"C","#ffff00","","",3,0,0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609",1,0,0,"2023-10-27 14:35:42-07:00","2023-10-27","2023-10-27 21:35:42 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-10-27 21:36:05 UTC","2023-10-28 03:19:04 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/189159929","https://inaturalist-open-data.s3.amazonaws.com/photos/331284164/medium.jpg",NA,"","",1,0,"false",3,"SE 70th Ave, Portland, OR, US",45.473025,-122.5912716667,5,"",NA,NA,5,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No selection","Healthy, no dieback(0%)",0,"0",-40,"Not sure","No selection","No selection","No Selection","No Selection","No Selection","No Selection","No selection","No selection","No selection","No selection","","No Selection","PWRC69","",77.3873321533203,1.85168849353133,"Portland",-2.38564367540951,4.89271739022485,3.04799176577863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","No Selection","Healthy","Healthy","Healthy","No","No","No",0
"6",386,189160946,45.4735466667,-122.5905883333,"Portland","Multnomah",58.1503517150879,89.2033592224121,85.2420394897461,6055,128,"C","#ffff00","","",3,0,0.001039100581926,"[ [ 45.461460, -122.625650 ], [ 45.562800, -122.568230 ] ]","45.469,-122.609",1,0,0,"2023-10-27 14:45:54-07:00","2023-10-27","2023-10-27 21:45:54 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-10-27 21:46:19 UTC","2023-10-28 03:19:03 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/189160946","https://inaturalist-open-data.s3.amazonaws.com/photos/331286705/medium.jpg",NA,"","",1,0,"false",3,"SE Cooper St, Portland, OR, US",45.4735466667,-122.5905883333,5,"",NA,NA,5,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No selection","Healthy, no dieback(0%)",0,"0",0,"Not sure","No selection","No selection","No Selection","No Selection","No Selection","No Selection","No selection","No selection","No selection","No selection","","No Selection","PWRC70","Heavily cut for power lines",77.531916809082,1.99627314929305,"Portland",-1.90620718248959,4.83909380929222,3.0559328210765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","No Selection","Healthy","Healthy","Healthy","No","No","No",0
"7",306,165330448,45.480626,-122.716516,"Portland","Multnomah",58.4644886016846,87.0279014587402,80.77841796875,6058,128,"B","#7cb5bd","","",2,0,0.000423278365128,"[ [ 45.461960, -122.725210 ], [ 45.506980, -122.673960 ] ]","45.479,-122.705",1,0,0,"2023-06-01","2023-06-01","","Pacific Time (US & Canada)",2137608,"mjingalsbe","","2023-06-03 16:29:11 UTC","2023-06-03 16:34:06 UTC","casual","CC-BY-NC","https://www.inaturalist.org/observations/165330448","https://inaturalist-open-data.s3.amazonaws.com/photos/286178684/medium.jpg",NA,"","Tree has three trunks",0,0,"true",NA,"SW Pendleton & Tower Way, Portland, OR",45.480626,-122.716516,NA,"",NA,NA,NA,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","Western Redcedar","Thuja plicata","western redcedar","Plantae",48252,"Tree is dead","Not Sure","60-99% of the canopy is unhealthy",99,"1",NA,"Not sure","No selection","No selection","Urban","Roadside","Low - fairly natural, not much development","Upland or well drained","Tree does not typically have access to water in summer","Top of slope","No","This is the first time I have seen this tree","","Yes","","",75.4236026763916,-0.112040983397378,"Portland",-1.5920702958929,2.66363604562036,-1.4076886999196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Yes","No Selection","Unhealthy","Dead","Tree is Dead","No","No","Yes",0.99
"8",369,188315192,45.4800195247,-122.6217151993,"Portland","Multnomah",60.1396306991577,88.3064525604248,84.3620620727539,6050,128,"B","#7cb5bd","B16","Berkeley",2,1,6.4390740321e-05,"[ [ 45.464400, -122.626580 ], [ 45.480710, -122.621420 ] ]","45.477,-122.624",1,0,0,"2023-10-20 16:18:29-07:00","2023-10-20","2023-10-20 23:18:29 UTC","Pacific Time (US & Canada)",268175,"dayhiker","","2023-10-20 23:21:03 UTC","2023-10-28 03:54:10 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/188315192","https://inaturalist-open-data.s3.amazonaws.com/photos/329560920/medium.jpg",NA,"","",1,0,"false",3,"SE 40th Ave, Portland, OR, US",45.4800195247,-122.6217151993,8,"",NA,NA,8,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Roadside","No Selection","No Selection","No selection","No selection","No","This is the first time I have seen this tree","","Yes","PWRC34","",77.6027151107788,2.06707145098983,"Portland",0.083071801580239,3.94218714730494,2.17595540408429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
"9",444,191616282,45.555295,-122.6264883333,"Portland","Multnomah",59.8412986755371,88.4895225524902,84.6225204467773,6121,128,"B","#7cb5bd","B18","Rose City Park",2,1,0.000110237048802,"[ [ 45.541210, -122.630680 ], [ 45.556740, -122.604700 ] ]","45.553,-122.623",1,0,0,"2023-11-20 13:39:01-08:00","2023-11-20","2023-11-20 21:39:01 UTC","Pacific Time (US & Canada)",1878391,"eurythenes","Ric Vetter","2023-11-20 21:48:57 UTC","2023-11-20 21:51:37 UTC","casual","","https://www.inaturalist.org/observations/191616282","https://static.inaturalist.org/photos/336194698/medium.jpg",NA,"","",0,0,"true",3,"NE Prescott St, Portland, OR, US",45.555295,-122.6264883333,4,"",NA,NA,4,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","","Thuja plicata","western redcedar","Plantae",48252,"Branch Dieback or 'Flagging'","No selection","1-29% of the canopy is unhealthy",20,"0",50,"Not sure","Top Cutting or Intensive Pruning","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree may have occassional access to water in summer (watered by someone)","Area is flat (e.g. field)","No","No selection","","Yes","92","Tree has been topped to accommodate power/utility lines. One large dead stem, flagged stem appears to be broken .",77.6511138916016,2.11547023181257,"Portland",-0.215260222040371,4.12525713937035,2.43641377810773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","Large","Unhealthy","Unhealthy","Other","No","No","No",0.2
"10",457,192588906,45.5111639492,-122.6961739179,"Portland","Multnomah",61.6877159118652,84.8038223266602,82.0238658905029,6065,128,"B","#7cb5bd","B28","Portland Heights",2,1,6.133450126e-05,"[ [ 45.507900, -122.701870 ], [ 45.518540, -122.687670 ] ]","45.512,-122.697",1,0,0,"2023-11-29 14:46:08-08:00","2023-11-29","2023-11-29 22:46:08 UTC","Pacific Time (US & Canada)",1762295,"pdxmat","","2023-11-29 22:50:11 UTC","2023-11-30 06:57:19 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/192588906","https://inaturalist-open-data.s3.amazonaws.com/photos/338119605/medium.jpg",NA,"","",1,0,"false",3,"SW Myrtle St, Portland, OR, US",45.5111639492,-122.6961739179,9,"",NA,NA,9,"","open","false","","","Portland","Multnomah","Oregon","United States","Oregon","Multnomah","western redcedar","Thuja plicata","western redcedar","Plantae",48252,"Healthy","No","Healthy, no dieback(0%)",0,"0",0,"No","No selection","Large (too big to wrap arms around trunk)","Urban","Urban yard or open park grounds","Heavy - a lot of development (e.g. parkinglots, pavement, heavy foot traffic, etc)","Upland or well drained","Tree has access to water year round (watered in summer or near permanent water source)","Middle of a slope","No","This is the first time I have seen this tree","10","Yes","PWRC99","",76.1718013763428,0.636157716553797,"Portland",1.63115701428776,0.439556913540287,-0.162240778166677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Yes","Large","Healthy","Healthy","Healthy","No","No","No",0
